record_date,power_consumption,dow,doy,day,month,year,season,1_m_mean,2_m_mean,1_m_std,2_m_std
2015-04-19,3592993.5,6,109,19,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-20,3694081.0,0,110,20,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-21,3785960.0,1,111,21,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-22,3822967.0,2,112,22,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-23,3907020.0,3,113,23,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-24,3854392.0,4,114,24,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-25,3801188.0,5,115,25,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-26,3606876.0,6,116,26,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-27,3827721.0,0,117,27,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-28,3922191.5,1,118,28,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-29,3903749.0,2,119,29,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-04-30,3807190.0,3,120,30,4,2015,2,3478852.43548,2795163.05357,564753.747993,769697.864999
2015-05-01,2893128.0,4,121,1,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-02,2988003.0,5,122,2,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-03,3501631.0,6,123,3,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-04,3785149.0,0,124,4,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-05,3908821.0,1,125,5,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-06,3920908.0,2,126,6,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-07,3900211.0,3,127,7,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-08,3893473.0,4,128,8,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-09,3756578.0,5,129,9,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-10,3488394.0,6,130,10,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-11,3768083.0,0,131,11,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-12,3833756.0,1,132,12,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-13,3944756.0,2,133,13,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-14,4113033.0,3,134,14,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-15,3925658.0,4,135,15,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-16,3753444.0,5,136,16,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-17,3545599.0,6,137,17,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-18,3747294.0,0,138,18,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-19,3901643.0,1,139,19,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-20,3878744.0,2,140,20,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-21,3834144.0,3,141,21,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-22,3873964.0,4,142,22,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-23,3857605.0,5,143,23,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-24,3658025.0,6,144,24,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-25,3894369.0,0,145,25,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-26,3932831.0,1,146,26,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-27,3943848.0,2,147,27,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-28,3980124.0,3,148,28,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-29,3919808.0,4,149,29,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-30,3660404.0,5,150,30,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-05-31,3409681.0,6,151,31,5,2015,3,3768333.3,3478852.43548,190787.832757,564753.747993
2015-06-01,3678089.0,0,152,1,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-02,3766353.5,1,153,2,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-03,3715689.0,2,154,3,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-04,3717902.0,3,155,4,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-05,3712017.0,4,156,5,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-06,3748581.0,5,157,6,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-07,3505473.0,6,158,7,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-08,3804096.0,0,159,8,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-09,3931900.0,1,160,9,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-10,4026655.0,2,161,10,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-11,4029529.0,3,162,11,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-12,4045499.0,4,163,12,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-13,3981977.0,5,164,13,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-14,3786411.0,6,165,14,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-15,4025300.0,0,166,15,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-16,3880740.0,1,167,16,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-17,3732340.0,2,168,17,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-18,3780395.0,3,169,18,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-19,3900360.0,4,170,19,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-20,3292730.0,5,171,20,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-21,3416254.0,6,172,21,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-22,3724890.0,0,173,22,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-23,3752153.0,1,174,23,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-24,3883363.0,2,175,24,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-25,4029993.0,3,176,25,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-26,3961676.0,4,177,26,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-27,3732652.5,5,178,27,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-28,3459483.0,6,179,28,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-29,3775745.0,0,180,29,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-06-30,3911804.0,1,181,30,6,2015,3,3755261.58065,3768333.3,269088.249265,190787.832757
2015-07-01,2693004.0,2,182,1,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-02,3642866.0,3,183,2,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-03,4044005.0,4,184,3,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-04,3826577.0,5,185,4,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-05,3552897.0,6,186,5,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-06,3797660.0,0,187,6,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-07,3198852.0,1,188,7,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-08,3812753.0,2,189,8,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-09,3959028.0,3,190,9,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-10,4067013.0,4,191,10,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-11,3851053.0,5,192,11,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-12,3511131.0,6,193,12,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-13,4034339.0,0,194,13,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-14,3550189.0,1,195,14,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-15,4018448.0,2,196,15,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-16,4248386.0,3,197,16,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-17,4095465.0,4,198,17,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-18,3950332.0,5,199,18,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-19,3765951.0,6,200,19,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-20,4112606.0,0,201,20,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-21,4276542.0,1,202,21,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-22,4102868.0,2,203,22,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-23,4145418.0,3,204,23,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-24,4212612.0,4,205,24,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-25,4039046.0,5,206,25,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-26,3788798.0,6,207,26,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-27,4257147.0,0,208,27,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-28,4350293.5,1,209,28,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-29,4326839.0,2,210,29,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-30,4295408.0,3,211,30,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-07-31,4225719.0,4,212,31,7,2015,3,3790335.0,3755261.58065,189700.430225,269088.249265
2015-08-01,3679973.0,5,213,1,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-02,3513088.0,6,214,2,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-03,4109362.0,0,215,3,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-04,4249464.0,1,216,4,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-05,4287459.0,2,217,5,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-06,4402083.0,3,218,6,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-07,4369295.0,4,219,7,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-08,4161898.0,5,220,8,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-09,3787603.0,6,221,9,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-10,4041268.0,0,222,10,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-11,3903333.0,1,223,11,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-12,4085366.0,2,224,12,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-13,4168955.0,3,225,13,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-14,4214550.0,4,226,14,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-15,4047430.0,5,227,15,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-16,3817657.0,6,228,16,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-17,4155488.0,0,229,17,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-18,4015123.0,1,230,18,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-19,3948699.0,2,231,19,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-20,3869580.0,3,232,20,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-21,3343687.0,4,233,21,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-22,3858150.0,5,234,22,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-23,3624080.0,6,235,23,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-24,3761623.0,0,236,24,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-25,3909831.0,1,237,25,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-26,4011378.0,2,238,26,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-27,4029224.0,3,239,27,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-28,3487881.0,4,240,28,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-29,3867982.0,5,241,29,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-30,3811394.0,6,242,30,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-08-31,4109812.0,0,243,31,8,2015,3,3927524.04839,3790335.0,359074.7842,189700.430225
2015-09-01,4066668.0,1,244,1,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-02,3925296.0,2,245,2,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-03,3177593.0,3,246,3,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-04,3566662.0,4,247,4,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-05,3757287.0,5,248,5,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-06,3841049.0,6,249,6,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-07,4018482.0,0,250,7,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-08,3691852.0,1,251,8,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-09,3918906.0,2,252,9,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-10,3929441.0,3,253,10,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-11,3927760.0,4,254,11,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-12,3633339.0,5,255,12,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-13,3447496.0,6,256,13,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-14,3713833.0,0,257,14,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-15,3832844.0,1,258,15,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-16,3749554.0,2,259,16,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-17,3946919.0,3,260,17,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-18,3975839.0,4,261,18,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-19,3820881.0,5,262,19,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-20,3608138.0,6,263,20,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-21,3957586.0,0,264,21,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-22,4039707.0,1,265,22,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-23,4017043.0,2,266,23,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-24,4037352.0,3,267,24,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-25,4040154.0,4,268,25,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-26,3497499.0,5,269,26,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-27,3356801.0,6,270,27,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-28,3873351.0,0,271,28,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-29,4000522.0,1,272,29,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-09-30,4542786.5,2,273,30,9,2015,3,3956216.64516,3927524.04839,255876.049689,359074.7842
2015-10-01,2841489.0,3,274,1,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-02,2776441.0,4,275,2,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-03,2754225.0,5,276,3,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-04,3016280.0,6,277,4,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-05,3443517.0,0,278,5,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-06,3629157.0,1,279,6,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-07,3669034.0,2,280,7,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-08,4002839.0,3,281,8,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-09,3773217.0,4,282,9,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-10,3718483.0,5,283,10,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-11,3236485.0,6,284,11,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-12,3676439.0,0,285,12,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-13,3708587.0,1,286,13,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-14,3748435.0,2,287,14,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-15,3538810.0,3,288,15,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-16,3807975.0,4,289,16,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-17,3802147.0,5,290,17,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-18,3521948.0,6,291,18,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-19,3719963.0,0,292,19,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-20,3608500.0,1,293,20,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-21,3926344.0,2,294,21,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-22,3926220.0,3,295,22,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-23,3914699.0,4,296,23,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-24,3945502.0,5,297,24,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-25,3512930.0,6,298,25,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-26,3750753.0,0,299,26,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-27,3929170.0,1,300,27,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-28,3838921.0,2,301,28,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-29,3915735.0,3,302,29,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-30,3840502.0,4,303,30,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-10-31,3232390.0,5,304,31,10,2015,4,3830421.35,3956216.64516,262122.563259,255876.049689
2015-11-01,3443912.0,6,305,1,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-02,3599595.0,0,306,2,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-03,3797234.0,1,307,3,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-04,3903614.0,2,308,4,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-05,3920772.0,3,309,5,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-06,3910196.0,4,310,6,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-07,3819933.0,5,311,7,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-08,3500779.0,6,312,8,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-09,3382794.0,0,313,9,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-10,3347273.0,1,314,10,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-11,3452265.0,2,315,11,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-12,3407477.0,3,316,12,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-13,3528801.0,4,317,13,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-14,3377359.0,5,318,14,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-15,3377554.0,6,319,15,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-16,3697464.0,0,320,16,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-17,3862200.0,1,321,17,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-18,3854823.0,2,322,18,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-19,3913774.0,3,323,19,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-20,3903341.0,4,324,20,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-21,3820628.0,5,325,21,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-22,3198310.5,6,326,22,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-23,3939268.0,0,327,23,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-24,4025841.0,1,328,24,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
2015-11-25,3608402.0,2,329,25,11,2015,4,3604101.19355,3830421.35,353342.150681,262122.563259
